Metodo,Patch,PPG_BPM,ECG_BPM,PPG_iRPM,PRE_iRPM,FS,Tempo,SQI1,SQI2
GBGR,101,65.0055,65.6269,21.1382,12.0,53.479692645444565,10,0.5595106963377183,1.212833279808934e-05
GBGR,104,42.4413,65.6269,21.1382,12.0,53.479692645444565,10,0.594988043493976,8.084019465564198e-06
GBGR,107,66.3095,65.6269,21.1382,12.0,53.479692645444565,10,0.6342409105470188,5.934531793966273e-05
GBGR,108,43.2711,65.6269,21.1382,12.0,53.479692645444565,10,0.545163075255626,3.0293592644709067e-05
GBGR,109,48.0922,65.6269,16.9106,12.0,53.479692645444565,10,0.49482475366816225,0.00010523745557251389
GBGR,135,52.9923,65.6269,12.6829,12.0,53.479692645444565,10,0.589011050812087,3.2703845252873794e-06
GBGR,151,66.8233,65.6269,21.1382,12.0,53.479692645444565,10,0.6217853875376681,0.00044744771135245607
GBGR,18,45.326,65.6269,16.9106,12.0,53.479692645444565,10,0.33737570556310315,7.994866280140476e-06
GBGR,188,66.1515,65.6269,21.1382,12.0,53.479692645444565,10,0.4262240049817424,0.0001520767420012878
GBGR,199,118.8672,65.6269,16.9106,12.0,53.479692645444565,10,0.30151763732645864,1.5077935746728084e-06
GBGR,266,43.6663,65.6269,16.9106,12.0,53.479692645444565,10,0.5192262077323668,2.1625957995928117e-05
GBGR,280,65.9539,65.6269,21.1382,12.0,53.479692645444565,10,0.6467779637194562,2.5731254990079952e-05
GBGR,299,53.348,65.6269,21.1382,12.0,53.479692645444565,10,0.31603353874245943,2.909490806153166e-05
GBGR,330,43.5873,65.6269,16.9106,12.0,53.479692645444565,10,0.6081620108209882,1.7871735187231405e-05
GBGR,333,60.5005,65.6269,25.3659,12.0,53.479692645444565,10,0.4537641478236566,6.658690275606167e-05
GBGR,336,66.3095,65.6269,21.1382,12.0,53.479692645444565,10,0.4999538984267209,1.3637237536764032e-05
GBGR,337,66.112,65.6269,16.9106,12.0,53.479692645444565,10,0.6748006361362087,2.174671758711605e-05
GBGR,338,67.0604,65.6269,21.1382,12.0,53.479692645444565,10,0.5163904544236664,6.153680224211368e-05
GBGR,347,43.1921,65.6269,16.9106,12.0,53.479692645444565,10,0.6048894648797121,3.229647039566644e-05
GBGR,36,65.3216,65.6269,16.9106,12.0,53.479692645444565,10,0.457573519117051,2.8265257578505903e-05
GBGR,364,50.8189,65.6269,21.1382,12.0,53.479692645444565,10,0.4103695880633803,1.0936468005218304e-05
GBGR,4,65.8353,65.6269,0,12.0,53.479692645444565,10,0.6575682825071258,5.963032699599482e-06
