Timestamp,ECGValue,BPM
1920396,338,107
1920405,340,107
1920417,383,107
1920424,345,107
1920424,381,107
1920448,381,107
1920456,357,107
1920464,404,107
1920472,371,107
1920488,394,107
1920498,423,107
1920505,397,107
1920519,452,107
1920529,436,107
1920539,429,107
1920550,452,107
1920555,384,107
1920571,379,107
1920581,345,107
1920590,294,107
1920590,323,107
1920606,280,107
1920621,292,107
1920633,312,107
1920638,276,107
1920652,320,107
1920663,301,107
1920671,291,107
1920684,323,107
1920689,280,107
1920704,309,107
1920714,306,107
1920723,278,107
1920725,323,107
1920739,290,107
1920755,303,107
1920765,325,107
1920772,285,107
1920786,331,107
1920789,316,107
1920805,308,107
1920817,349,107
1920825,305,107
1920837,334,107
1920848,333,107
1920855,296,107
1920868,336,107
1920876,297,107
1920888,303,107
1920890,324,107
1920906,282,107
1920920,325,107
1920930,310,107
1920938,300,107
1920938,343,107
1920955,303,107
1920964,330,107
1920982,334,107
1920989,299,107
1921001,340,107
1921012,304,107
1921022,311,107
1921025,336,107
1921038,294,107
1921053,336,107
1921056,320,107
1921071,308,107
1921084,347,107
1921088,305,107
1921104,332,107
1921113,336,107
1921125,303,107
1921125,348,107
1921146,313,107
1921155,321,107
1921165,356,107
1921173,320,107
1921173,355,107
1921197,338,107
1921205,316,107
1921218,349,107
1921227,305,107
1921238,331,107
1921248,335,107
1921256,301,107
1921268,347,107
1921278,313,107
1921288,305,107
1921299,403,109
1921305,596,109
1921319,659,109
1921330,521,109
1921338,189,109
1921351,318,109
1921356,293,109
1921371,306,109
1921373,311,109
1921388,277,109
1921401,323,109
1921413,293,109
1921421,297,109
1921433,328,109
1921438,288,109
1921453,329,109
1921463,324,109
1921472,311,109
1921484,355,109
1921489,315,109
1921505,338,109
1921515,347,109
1921525,314,109
1921535,364,109
1921546,341,109
1921555,356,109
1921567,400,109
1921574,372,109
1921587,423,109
1921597,420,109
1921605,400,109
1921609,436,109
1921625,376,109
1921638,368,109
1921648,349,109
1921655,291,109
1921663,321,109
1921679,280,109
1921688,277,109
1921700,308,109
1921705,262,109
1921720,297,109
1921725,287,109
1921739,266,109
1921739,309,109
1921761,269,109
1921772,289,109
1921773,305,109
1921788,265,109
1921788,309,109
1921805,281,109
1921821,278,109
1921825,307,109
1921843,262,109
1921853,298,109
1921863,292,109
1921872,273,109
1921885,316,109
1921889,274,109
1921905,292,109
1921915,302,109
1921925,261,109
1921936,302,109
1921946,272,109
1921955,272,109
1921955,305,109
1921973,263,109
1921987,299,109
1921997,295,109
1922005,271,109
1922018,313,109
1922025,272,109
1922038,287,109
1922049,301,109
1922056,258,109
1922069,300,109
1922080,275,109
1922088,268,109
1922100,301,109
1922110,256,109
1922121,291,109
1922126,288,109
1922139,263,109
1922151,307,109
1922156,270,109
1922171,288,109
1922182,307,109
1922189,268,109
1922189,311,109
1922205,287,109
1922223,281,109
1922225,315,109
1922238,273,109
1922254,308,109
1922264,305,109
1922274,277,109
1922285,334,109
1922288,303,109
1922305,313,109
1922305,329,109
1922325,285,109
1922332,320,109
1922346,296,109
1922356,286,109
1922367,324,109
1922372,280,109
1922387,315,109
1922388,310,109
1922405,273,109
1922414,368,109
1922429,561,104
1922438,658,104
1922439,571,104
1922455,168,104
1922470,291,104
1922472,302,104
1922489,286,104
1922489,327,104
1922511,285,104
1922521,316,104
1922532,317,104
1922538,287,104
1922551,331,104
1922562,295,104
1922572,307,104
1922582,335,104
1922588,301,104
1922603,351,104
1922606,340,104
1922622,338,104
1922634,383,104
1922639,347,104
1922655,382,104
1922663,387,104
1922671,364,104
1922685,417,104
1922689,393,104
1922705,418,104
1922716,451,104
1922726,416,104
1922736,455,105
1922747,417,105
1922755,368,105
1922767,372,105
1922777,304,105
1922788,314,105
1922797,308,105
1922805,276,105
1922818,323,105
1922826,296,105
1922838,306,105
1922850,328,105
1922856,285,105
1922870,328,105
1922872,313,105
1922889,300,105
1922889,343,105
1922906,302,105
1922922,331,105
1922931,338,105
1922938,311,105
1922952,356,105
1922955,329,105
1922972,339,105
1922983,365,105
1922993,327,105
1923004,366,105
1923014,354,105
1923022,339,105
1923034,376,105
1923045,332,105
1923055,357,105
1923065,364,105
1923072,334,105
1923085,380,105
1923089,352,105
1923105,358,105
1923116,385,105
1923126,344,105
1923136,384,105
1923139,372,105
1923155,360,105
1923168,402,115
1923178,359,115
1923188,383,115
1923199,388,115
1923205,356,115
1923220,399,115
1923229,366,115
1923238,374,115
1923250,412,115
1923255,372,115
1923262,406,115
1923272,389,115
1923288,363,115
1923302,396,115
1923305,350,115
1923322,372,115
1923332,379,115
1923339,343,115
1923352,387,115
1923363,354,115
1923371,352,115
1923383,498,115
1923388,658,115
1923404,659,115
1923414,466,115
1923422,235,115
1923435,370,115
1923446,340,115
1923455,356,115
1923465,366,115
1923471,334,115
1923486,378,115
1923496,348,115
1923505,349,115
1923517,376,115
1923526,330,115
1923537,365,115
1923547,362,115
1923555,350,115
1923568,400,115
1923573,365,115
1923588,390,115
1923599,402,112
1923605,369,112
1923620,413,112
1923629,385,112
1923639,389,112
1923650,429,112
1923660,398,112
1923671,448,112
1923681,451,112
1923689,433,112
1923702,465,112
1923712,393,112
1923722,372,112
1923727,349,112
1923738,286,112
1923754,317,112
1923762,282,112
1923772,281,112
1923772,315,112
1923788,276,112
1923804,317,112
1923814,311,112
1923822,285,112
1923826,325,112
1923845,279,112
1923855,292,112
1923865,302,112
1923872,263,112
1923872,308,112
1923888,285,112
1923906,282,112
1923917,315,112
1923927,272,112
1923937,307,112
1923948,301,112
1923955,277,112
1923968,320,112
1923978,282,112
1923988,300,112
1923999,314,112
1924006,274,112
1924020,314,112
1924031,282,112
1924038,274,112
1924051,304,112
1924061,258,112
1924071,293,112
1924081,287,112
1924088,265,112
1924102,313,112
1924113,279,112
1924121,294,112
1924133,310,112
1924143,271,112
1924153,312,112
1924155,287,112
1924173,279,112
1924185,316,112
1924189,272,112
1924205,307,112
1924215,304,112
1924222,279,112
1924235,326,112
1924246,288,112
1924256,305,112
1924266,321,112
1924276,282,112
1924276,326,112
1924297,303,112
1924305,298,112
1924315,336,112
1924327,294,112
1924338,329,112
1924348,327,112
1924356,297,112
1924368,339,112
1924379,310,112
1924389,332,112
1924400,348,112
