Timestamp,ECGValue,BPM
404500,351,41
404509,300,41
404521,338,41
404531,318,41
404541,301,41
404551,343,41
404557,297,41
404572,328,41
404575,333,41
404591,299,41
404603,346,41
404608,310,41
404622,316,41
404625,345,41
404642,299,41
404651,344,41
404658,326,41
404674,305,41
404685,348,41
404691,305,41
404706,330,41
404716,343,41
404725,303,41
404736,352,41
404742,320,41
404756,321,41
404767,353,41
404775,302,41
404788,342,41
404798,332,41
404808,309,41
404818,355,41
404825,314,41
404839,336,41
404849,350,41
404859,306,41
404859,353,41
404874,321,41
404890,318,41
404899,357,41
404908,306,41
404921,344,41
404932,345,41
404942,317,41
404949,368,41
404957,327,41
404972,335,41
404975,345,41
404992,306,41
405003,350,41
405008,323,41
405024,315,41
405033,354,41
405042,303,41
405054,337,41
405065,338,41
405074,307,41
405075,355,41
405092,320,41
405105,332,41
405113,365,41
405125,358,41
405137,519,41
405147,481,41
405157,306,41
405167,307,41
405175,306,41
405188,332,41
405198,338,41
405209,303,41
405219,352,41
405225,316,41
405240,320,41
405241,348,41
405259,303,41
405270,348,41
405275,332,41
405291,318,41
405300,368,41
405309,325,41
405321,360,41
405332,377,41
405342,347,41
405342,403,41
405358,376,41
405372,383,41
405383,407,41
405391,338,41
405403,355,41
405413,324,41
405424,292,41
405425,336,41
405442,286,41
405454,310,41
405465,320,41
405475,279,41
405486,330,41
405492,299,41
405492,296,41
405508,332,41
405526,280,41
405526,320,41
405542,313,41
405558,286,41
405568,333,41
405574,290,41
405574,311,41
405599,328,41
405607,287,41
405619,336,41
405625,304,41
405625,300,41
405642,337,41
405658,289,41
405670,327,41
405675,323,41
405691,294,41
405701,344,41
405708,303,41
405722,315,41
405732,336,41
405742,294,41
405753,340,41
405763,314,41
405773,305,41
405783,346,41
405791,297,41
405804,330,41
405814,330,41
405824,298,41
405825,350,41
405841,311,41
405852,322,41
405865,351,41
405875,308,41
405886,354,41
405892,329,41
405907,305,41
405917,347,41
405926,302,41
405926,331,41
405942,331,41
405958,298,41
405969,348,41
405975,311,41
405975,320,41
405999,348,41
406008,304,41
406019,352,41
406030,333,41
406040,317,41
406050,384,41
406058,417,41
406071,535,46
406081,434,46
406091,241,46
406102,347,46
406112,315,46
406122,320,46
406132,349,46
406141,304,46
406153,346,46
406162,336,46
406173,317,46
406183,364,46
406191,320,46
406204,343,46
406215,357,46
406224,324,46
406234,376,46
406241,351,46
406256,359,46
406267,397,46
406275,362,46
406287,408,46
406293,402,46
406307,378,46
406308,408,46
406326,343,46
406326,341,46
406342,343,46
406358,291,46
406369,338,46
406375,306,46
406389,302,46
406400,337,46
406407,291,46
406420,322,46
406427,319,46
406441,294,46
406441,342,46
406458,300,46
406471,318,46
406481,338,46
406491,297,46
406503,346,46
406511,321,46
406522,312,46
406526,351,46
406542,305,46
406551,337,46
406559,337,46
406559,304,46
406584,351,46
406591,312,46
406605,328,46
406615,350,46
406625,305,46
406636,346,46
406641,329,46
406656,312,46
406667,358,46
406675,313,46
406686,342,46
406692,345,46
406707,317,46
406708,367,46
406726,327,46
406739,337,46
406748,354,46
406758,304,46
406758,350,46
406775,332,46
406775,315,46
406792,356,46
406808,310,46
406808,334,46
406827,346,46
406827,309,46
406851,354,46
406858,324,46
406871,329,46
406882,356,46
406891,328,46
406902,400,46
406908,487,46
406923,424,46
406934,337,46
406942,281,46
406942,346,46
406964,338,46
406975,308,46
406984,356,46
406991,327,46
407005,330,46
407016,361,46
407024,319,46
407036,355,46
407041,348,46
407056,328,46
407066,380,46
407074,340,46
407088,367,46
