Metodo,Patch,PPG_BPM,ECG_BPM,PPG_iRPM,PRE_iRPM,SQI1,SQI2,SQI3,SQI4
CHROM,10,54.8363,64.4704,22.6286,8.0,0.46861432160870575,0.007019106355637781,0.12305456182836613,0.00011477823543532258
CHROM,101,66.7035,64.4704,20.5714,8.0,0.5375185276700714,0.00850938064619024,0.12483446572383507,1.7178732417812885e-05
CHROM,104,59.3363,64.4704,10.2857,8.0,0.40928994220749604,0.017545661756826092,0.1395235219154254,2.753904665510886e-05
CHROM,107,66.6239,64.4704,10.2857,8.0,0.5936086024175982,0.006564634552492798,0.11753598686621486,1.0843398475548305e-05
CHROM,108,62.0642,64.4704,8.2286,8.0,0.49621254742656806,0.0029413284313474703,0.13997880999590348,0.00012191811773966827
CHROM,109,66.7035,64.4704,10.2857,8.0,0.5788383414859889,0.003188858613230944,0.09400333652770117,1.9805741350622223e-07
CHROM,135,66.2854,64.4704,8.2286,8.0,0.4295373893298686,-0.01127370010953189,0.1514088990466121,2.868149488736411e-05
CHROM,151,66.6438,64.4704,10.2857,8.0,0.5654349711419384,0.00937755172874447,0.11913695964031933,3.347734115046444e-05
CHROM,18,45.219,64.4704,16.4571,8.0,0.3334009213747494,0.018295995667993104,0.12791654678333192,0.00011315780367669351
CHROM,188,54.8164,64.4704,10.2857,8.0,0.5472694284919313,0.010618851477017797,0.13002803234558563,7.002958020360565e-05
CHROM,199,45.8164,64.4704,8.2286,8.0,0.6227668139704241,-0.0031302279106668646,0.1394450580213851,2.994303387964752e-05
CHROM,266,66.7035,64.4704,10.2857,8.0,0.38658140277446373,0.015424967924338359,0.11208713672585391,0.0002039906329786713
CHROM,280,62.0243,64.4704,12.3429,8.0,0.5739192614775628,0.0048717860709935525,0.119524132552498,4.852134730843085e-05
CHROM,299,55.0155,64.4704,8.2286,8.0,0.5414967458476014,0.005465978465816564,0.13273027078216532,6.546055168515788e-05
CHROM,330,56.8872,64.4704,10.2857,8.0,0.5082719003624188,0.014132302514452069,0.11227686133842911,0.00019295106910444286
CHROM,333,54.3584,64.4704,8.2286,8.0,0.5181980324905777,0.008699280041499315,0.11409663015910018,0.00012953905456701282
CHROM,336,62.0642,64.4704,14.4,8.0,0.4353663599287917,0.007100912637355627,0.12890305824164328,1.2590944748261086e-05
CHROM,337,50.396,64.4704,10.2857,8.0,0.508775613357935,0.00385245146964056,0.11982672136418722,0.0001905707787838263
CHROM,338,56.8473,64.4704,8.2286,8.0,0.5187041369737093,0.008334140999601518,0.11921798910920625,0.00018433475934901124
CHROM,347,62.1239,64.4704,12.3429,8.0,0.46454741450868264,-0.009016608661493583,0.14294435387422633,1.125731049922803e-06
CHROM,36,53.9204,64.4704,10.2857,8.0,0.48157523230126076,0.0036616051516117107,0.1122733745646808,1.785488969714833e-05
CHROM,364,58.3009,64.4704,10.2857,8.0,0.460360266412139,-0.007758336904863888,0.1104052318794129,6.192166649253737e-05
CHROM,4,54.5376,64.4704,14.4,8.0,0.5809973074246526,0.004271128543081995,0.09684398725364582,1.1235324178799566e-05
CHROM,50,66.5442,64.4704,14.4,8.0,0.4705640039658544,0.017029276023316352,0.12042378228188341,4.3173316203877916e-05
CHROM,6,54.6571,64.4704,8.2286,8.0,0.556002299056608,0.018848245980186622,0.13648868448693413,5.028779307907809e-05
CHROM,69,66.6438,64.4704,20.5714,8.0,0.5338867743838314,0.005357601858505051,0.10343855649098901,3.408102704065221e-06
CHROM,9,53.0044,64.4704,14.4,8.0,0.4662141182543569,0.017355319790149946,0.12515810930981866,8.747550020589011e-05
GBGR,10,56.3296,64.4704,10.2857,8.0,0.42766362475243047,-0.005999590511609617,0.1171992148768643,4.740159784079027e-05
GBGR,101,66.6836,64.4704,10.2857,8.0,0.5228825515233074,-0.00942567967647829,0.10899871920949487,0.000235569503492706
GBGR,104,48.0863,64.4704,12.3429,8.0,0.34382705787485457,-0.0011051529686121285,0.1751509571906723,7.534992178637989e-05
GBGR,107,66.6637,64.4704,10.2857,8.0,0.5748476368348902,-0.003496495114560252,0.11816068793112358,2.3574720518374056e-07
GBGR,108,56.4491,64.4704,8.2286,8.0,0.43033776736308116,0.0023177262389040476,0.09039804946013995,4.736872461076155e-05
GBGR,109,66.7035,64.4704,10.2857,8.0,0.6189289277353913,-0.00014649182969177799,0.11360373408100889,1.987215245791682e-05
GBGR,135,66.385,64.4704,8.2286,8.0,0.3448312422120088,0.01006026999948486,0.10198135588545768,0.00016993766075444497
GBGR,151,66.5841,64.4704,10.2857,8.0,0.5242840464705588,-0.01055243756284432,0.10107340441305293,1.7906478153484652e-05
GBGR,18,45.219,64.4704,16.4571,8.0,0.3423421286590762,-0.016962064909510993,0.10553240693556373,0.00011126201139117824
GBGR,188,61.8053,64.4704,12.3429,8.0,0.4578186011606131,-0.009575611783288371,0.09666654321414275,3.419582074961773e-05
GBGR,199,45.8164,64.4704,8.2286,8.0,0.6303713901236558,0.0037094526036624944,0.11764019942600529,0.00014046589181083765
GBGR,266,66.7235,64.4704,10.2857,8.0,0.3890702150210168,-0.013755768837362417,0.10530338881714464,0.00014557535174249562
GBGR,280,62.0841,64.4704,10.2857,8.0,0.5227530752995092,-0.003686406292633085,0.08070781115026932,1.0048157126124612e-05
GBGR,299,55.2146,64.4704,8.2286,8.0,0.45266543294932693,-0.010080526739539117,0.13632819546618757,8.267649376106904e-05
GBGR,330,56.9071,64.4704,10.2857,8.0,0.5105620739255392,-0.012245331774396021,0.10246515567783085,0.00017064609444279762
GBGR,333,54.1593,64.4704,12.3429,8.0,0.47102985589505164,-0.010642547571907846,0.12493661280127033,3.6556597844828134e-05
GBGR,336,57.2854,64.4704,16.4571,8.0,0.38514986094011383,-0.0018566896745152825,0.09203206871100711,0.000110417288586401
GBGR,337,66.5841,64.4704,10.2857,8.0,0.48678258697280297,-0.0015159048674651262,0.12578611393238978,1.862535318095086e-05
GBGR,338,66.823,64.4704,8.2286,8.0,0.41397572090046697,0.0006703715873402283,0.11993578459320448,0.00011029814978914239
GBGR,347,62.1836,64.4704,12.3429,8.0,0.48498142340146144,0.009020312694267646,0.11631041985495506,0.00026578157637377204
GBGR,36,54.2987,64.4704,14.4,8.0,0.5639591907703998,-0.004203514960829649,0.10788417234774675,0.00014560853191341965
GBGR,364,58.3208,64.4704,10.2857,8.0,0.4215943589352228,0.010703283769111196,0.11044624745070127,3.835433781565945e-05
GBGR,4,54.4978,64.4704,10.2857,8.0,0.582467838350427,-0.0058112492403877706,0.11107254357075162,0.00012036337992715023
GBGR,50,44.2832,64.4704,10.2857,8.0,0.353108248156901,-0.018800806450070467,0.13620565027541273,8.074826741418634e-05
GBGR,6,56.8274,64.4704,10.2857,8.0,0.4694040459035286,-0.024512147638110875,0.0967719513079269,5.991275611035489e-06
GBGR,69,50.4956,64.4704,8.2286,8.0,0.4213636661273005,0.0017178735411317808,0.14173238621956613,1.2643242283810472e-05
GBGR,9,54.6571,64.4704,14.4,8.0,0.4605579822573007,-0.012692468086048054,0.10929971306029988,0.0002308101041529887
GREEN,10,54.7367,64.4704,8.2286,8.0,0.4892305337674798,-0.003544496124476887,0.1332813302701488,7.628288200196163e-05
GREEN,101,66.6836,64.4704,10.2857,8.0,0.6128739882322154,-0.001343417525495534,0.11089985841804834,0.00011102199487655788
GREEN,104,52.1881,64.4704,10.2857,8.0,0.3701941593620903,-0.020296514564088906,0.11175695014838061,9.639299847458006e-05
GREEN,107,40.1416,64.4704,16.4571,8.0,0.37594532711999473,-0.02385256121724868,0.15263601221442413,0.00011066976504275942
GREEN,108,54.5774,64.4704,8.2286,8.0,0.49160829944502626,-0.004769277496343251,0.10090114698865951,1.1663712527292464e-05
GREEN,109,57.2058,64.4704,20.5714,8.0,0.5422333406697971,-0.011543962294103708,0.10897616535236243,0.00013988375382207008
GREEN,135,66.1261,64.4704,16.4571,8.0,0.3712341283699734,0.009551699121009182,0.11386083923919449,1.6532924905169156e-05
GREEN,151,66.7832,64.4704,8.2286,8.0,0.579978251969447,0.00757034393996287,0.10485334632058824,7.633678315970086e-05
