Metodo,Patch,PPG_BPM,ECG_BPM,PPG_iRPM,PRE_iRPM,SQI1,SQI2,SQI3,SQI4
CHROM,10,50.0575,59.6056,8.2286,8.0,0.6831585308150225,-0.0027688871985170134,0.09446059223967247,2.6858040304027998e-05
CHROM,101,50.2168,59.6056,8.2286,8.0,0.7435869561770027,-0.0035954811669578956,0.09345969243685966,3.400261941228122e-05
CHROM,104,50.1969,59.6056,8.2286,8.0,0.6742475332227713,0.011497106765638457,0.1112046708774618,0.0005252549696649502
CHROM,107,50.0774,59.6056,8.2286,8.0,0.7497926040193972,-0.001264997717479936,0.09354292830629911,8.611535785379454e-05
CHROM,108,50.1372,59.6056,8.2286,8.0,0.7114886469686685,0.003330123989031323,0.0998864629175566,0.00013291182241897175
CHROM,109,49.958,59.6056,8.2286,8.0,0.7132201202499577,-0.004486428122267333,0.10405346711578779,0.000131451129591223
CHROM,135,50.0973,59.6056,8.2286,8.0,0.4470216911369469,-0.027805329659800756,0.1459569400780746,6.838049993760913e-05
CHROM,151,50.0774,59.6056,8.2286,8.0,0.7101166974194186,-0.0010266118388661534,0.11438429942548804,2.5354730843085467e-05
CHROM,18,104.9535,59.6056,8.2286,8.0,0.3406982637473166,0.01602651033960027,0.08044971555340971,2.7427874399282892e-05
CHROM,188,50.177,59.6056,8.2286,8.0,0.6375334416636795,-0.004681702498212991,0.10310135195451248,6.992878682906066e-05
CHROM,199,50.0973,59.6056,8.2286,8.0,0.48933564376551375,0.006643907428293824,0.101353951297251,2.1641636267379846e-05
CHROM,266,50.1372,59.6056,8.2286,8.0,0.7323540193824509,0.012565942341975405,0.11540253087048209,3.668922556756474e-05
CHROM,280,50.1173,59.6056,8.2286,8.0,0.7100738898165759,0.009073390785003162,0.11329722573479205,3.683413799720398e-05
CHROM,299,50.1173,59.6056,8.2286,8.0,0.7275066475703262,-0.004151274867074393,0.09332105906766239,8.967322937973756e-05
CHROM,330,50.2965,59.6056,8.2286,8.0,0.7420388590171201,-0.00037276616429357214,0.09005399456745307,4.83581337340233e-05
CHROM,333,50.1969,59.6056,8.2286,8.0,0.6184519733304383,0.009277520102533843,0.09914840102092586,7.96749600782461e-05
CHROM,336,50.0177,59.6056,8.2286,8.0,0.7408132138586017,-0.007221285824125435,0.09869220970606092,1.8799732545829508e-05
CHROM,337,50.1173,59.6056,8.2286,8.0,0.6960828576941145,0.003779030083134881,0.11678749926229848,6.102269196534558e-06
CHROM,338,50.2765,59.6056,8.2286,8.0,0.6949199167027229,0.008047055121711276,0.10543378570260085,3.092019267645232e-05
CHROM,347,50.0774,59.6056,8.2286,8.0,0.6013917302850451,-0.0077814767974097405,0.11353763717496994,5.067055076656472e-07
CHROM,36,49.9978,59.6056,8.2286,8.0,0.7391168353602839,-0.011856925391274973,0.10030277698753522,1.3509749487988398e-05
CHROM,364,51.1327,59.6056,8.2286,8.0,0.3933528520348287,0.02945381936643386,0.15582093100020228,3.81273604375797e-05
CHROM,4,49.958,59.6056,8.2286,8.0,0.6620243111573543,-0.012630346916257331,0.11187607722180921,0.00015647926362788033
CHROM,50,50.3562,59.6056,8.2286,8.0,0.7092143375755631,-0.009501460045684083,0.10925221483329857,3.0451947450565005e-05
CHROM,6,50.1173,59.6056,16.4571,8.0,0.6388013149225014,-0.0011334144562284534,0.12334478703718849,9.421515241734236e-05
CHROM,69,49.8982,59.6056,12.3429,8.0,0.5660497517394264,0.019620610786761805,0.12857360881034233,1.1393592213932134e-05
CHROM,9,50.2367,59.6056,8.2286,8.0,0.746254257748461,-0.0004467300783673614,0.10712139607364074,0.00011354182081393446
