Timestamp,PressureValue
397185,8982846
397285,8982734
397384,8982752
397482,8982847
397581,8982977
397679,8983142
397777,8983302
397876,8983477
397974,8983655
398072,8983805
398167,8983966
398267,8984173
398368,8984362
398466,8984567
398565,8984781
398663,8984994
398761,8985249
398860,8985525
398958,8985803
399056,8986065
399151,8986330
399251,8986571
399351,8986834
399450,8987102
399548,8987306
399647,8987482
399735,8987670
399844,8987866
399942,8988066
400040,8988259
400136,8988437
400235,8988588
400334,8988717
400434,8988834
400532,8988945
400631,8989033
400729,8989077
400827,8989086
400926,8989091
401024,8989106
401119,8989125
401218,8989166
401317,8989173
401417,8989142
401516,8989126
401615,8989108
401713,8989072
401811,8989023
401910,8988952
402008,8988858
402107,8988745
402202,8988633
402301,8988534
402401,8988434
402500,8988320
402599,8988196
402696,8988071
402795,8987969
402894,8987870
402992,8987755
403090,8987632
403186,8987506
403285,8987390
403384,8987303
403484,8987230
403583,8987175
403681,8987139
403779,8987082
403878,8987019
403976,8986966
404074,8986879
404172,8986752
404269,8986602
404369,8986430
404467,8986226
404566,8985987
404665,8985732
404764,8985490
404862,8985253
404960,8984983
405058,8984772
405157,8984619
405252,8984479
405352,8984366
405452,8984322
405550,8984367
405649,8984446
405747,8984528
405846,8984621
405944,8984734
406042,8984850
406141,8984992
406239,8985145
406335,8985286
406435,8985400
406534,8985482
406632,8985561
406731,8985672
406830,8985774
406928,8985922
407026,8986118
407125,8986284
407223,8986482
407318,8986743
407418,8987035
407518,8987368
407617,8987735
407715,8988062
407813,8988363
407912,8988641
408010,8988856
408109,8989057
408207,8989239
408306,8989368
408401,8989466
408502,8989521
408601,8989530
408699,8989541
408797,8989574
408896,8989632
408994,8989682
409093,8989707
409191,8989724
409289,8989734
409384,8989712
409484,8989646
409584,8989558
409683,8989450
409781,8989319
409880,8989139
409978,8988946
410076,8988780
410175,8988598
410273,8988392
410368,8988188
410469,8988003
410569,8987832
410667,8987678
410765,8987536
410864,8987386
410962,8987172
411061,8986866
411159,8986526
411257,8986186
411352,8985828
411452,8985439
411551,8985046
411651,8984643
411749,8984270
411848,8983933
411946,8983667
412044,8983510
412143,8983410
412241,8983382
412340,8983438
412435,8983531
412535,8983613
412635,8983697
412733,8983786
412832,8983921
412930,8984102
413028,8984296
413127,8984518
413225,8984760
413324,8985000
413422,8985265
413518,8985583
413618,8985930
413717,8986271
413816,8986589
413914,8986890
414012,8987198
414111,8987526
414209,8987806
414307,8988055
414402,8988314
414502,8988561
414602,8988803
414701,8989029
414799,8989222
414898,8989390
414995,8989532
415094,8989618
415193,8989678
415291,8989720
415390,8989720
415485,8989693
415585,8989630
415685,8989550
415783,8989478
415882,8989399
415980,8989313
416078,8989225
416177,8989130
416275,8989022
416374,8988913
416469,8988801
416568,8988699
416669,8988598
416767,8988493
416866,8988394
416964,8988282
417062,8988155
417161,8988048
417259,8987970
417358,8987885
417456,8987788
417552,8987707
417652,8987637
417751,8987566
417850,8987512
417948,8987469
418047,8987436
418145,8987404
418243,8987357
418342,8987318
418440,8987305
418535,8987283
418636,8987257
418735,8987230
418834,8987174
418932,8987082
419031,8986950
419129,8986782
419227,8986602
419326,8986397
419424,8986147
419523,8985899
419619,8985654
419719,8985387
419818,8985131
419916,8984914
420015,8984762
420113,8984642
420211,8984550
420310,8984514
420408,8984517
420507,8984553
420602,8984630
420702,8984734
420802,8984873
420900,8985050
420999,8985248
421097,8985472
421196,8985714
421294,8985935
421391,8986175
421491,8986415
421586,8986622
421685,8986834
421785,8987030
421884,8987193
421983,8987324
422081,8987446
422180,8987535
422278,8987646
422376,8987758
422474,8987839
422573,8987946
422668,8988083
422768,8988243
422868,8988408
422967,8988573
423065,8988722
423164,8988867
423262,8989007
423361,8989118
423459,8989214
423557,8989286
423653,8989329
423752,8989352
423852,8989368
423951,8989370
424049,8989367
424148,8989342
424246,8989284
424345,8989237
424442,8989189
424541,8989120
424636,8989058
424735,8988993
424836,8988906
424935,8988810
425033,8988702
425132,8988615
425230,8988542
425329,8988454
425427,8988385
425526,8988325
425624,8988244
425719,8988152
425819,8988074
425919,8988002
426018,8987935
426116,8987868
426214,8987789
426313,8987721
426411,8987638
426510,8987552
426607,8987482
426706,8987408
426803,8987306
426902,8987170
427002,8987001
427100,8986799
427198,8986575
427297,8986342
427395,8986092
427494,8985828
427592,8985581
427690,8985346
427786,8985128
427886,8984954
427985,8984832
428084,8984762
428182,8984744
428281,8984755
428380,8984798
428478,8984903
428576,8985020
428675,8985124
428769,8985259
428870,8985424
428969,8985617
429068,8985819
429167,8986010
429265,8986177
429363,8986364
