Metodo,Patch,PPG_BPM,ECG_BPM,PPG_iRPM,PRE_iRPM,SQI1,SQI2
CHROM,10,67.953,68.2487,14.5665,12.0,0.7235541995357236,-0.009715035786388082
CHROM,101,67.953,68.2487,14.5665,12.0,0.7948411501375217,-0.012820043671567784
CHROM,104,67.953,68.2487,8.3237,12.0,0.6747294972046918,-0.002905794147219756
CHROM,107,67.9732,68.2487,10.4046,12.0,0.7220420068454663,-0.020223429539196914
CHROM,108,67.8926,68.2487,14.5665,12.0,0.7515961556117019,-0.015657423613916675
CHROM,109,67.7919,68.2487,14.5665,12.0,0.7900363136920376,-0.0018924555499375978
CHROM,135,67.7517,68.2487,16.6474,12.0,0.6254578776847175,-0.00930869231150755
CHROM,151,67.8523,68.2487,10.4046,12.0,0.7855477968172639,-0.016798394524218118
CHROM,18,68.396,68.2487,8.3237,12.0,0.39553884866369304,0.03590667164049399
CHROM,188,67.9732,68.2487,8.3237,12.0,0.7179232595737488,-0.008608594176419892
CHROM,199,68.0134,68.2487,12.4855,12.0,0.4362959808347293,0.027951275617040888
CHROM,266,67.9732,68.2487,14.5665,12.0,0.7828461021841564,-0.01034053084808032
CHROM,280,68.1946,68.2487,12.4855,12.0,0.7362811969925909,-0.00915539866001421
CHROM,299,67.953,68.2487,10.4046,12.0,0.7533420669658549,-0.013224110601213536
CHROM,330,68.0336,68.2487,20.8092,12.0,0.7842477704678077,-0.00505957023167592
CHROM,333,67.8523,68.2487,14.5665,12.0,0.5479960542471405,6.287522724168761e-05
CHROM,336,68.0537,68.2487,16.6474,12.0,0.7224639264291359,-0.016507870519996665
CHROM,337,68.094,68.2487,14.5665,12.0,0.7949628663175461,-0.009880776589304894
CHROM,338,68.0336,68.2487,12.4855,12.0,0.7376903012663002,-0.012600896520969785
CHROM,347,68.0336,68.2487,20.8092,12.0,0.6700503572779004,0.002343618151353555
CHROM,36,67.9732,68.2487,10.4046,12.0,0.7947431393618098,-0.005901256414745112
CHROM,364,67.349,68.2487,10.4046,12.0,0.4420225004254569,-0.015568524994320427
CHROM,4,67.9732,68.2487,8.3237,12.0,0.727530768279216,-0.026512618003072627
CHROM,50,67.9732,68.2487,10.4046,12.0,0.7328844409159339,-0.012258352865951795
CHROM,6,67.8926,68.2487,8.3237,12.0,0.6603552891965048,-0.011837570813360633
CHROM,69,67.953,68.2487,8.3237,12.0,0.7544661024987799,0.004489688901541383
CHROM,9,68.0336,68.2487,14.5665,12.0,0.8260814761264965,-0.0014930970781459134
GBGR,10,67.9933,68.2487,14.5665,12.0,0.677877128098914,0.002424951894440692
GBGR,101,67.9128,68.2487,14.5665,12.0,0.7913468146598714,0.012971359223079106
GBGR,104,67.7517,68.2487,10.4046,12.0,0.6347344183225754,-0.00034468397727858855
GBGR,107,67.9933,68.2487,10.4046,12.0,0.6854951211945939,0.01680543802221042
GBGR,108,67.7315,68.2487,14.5665,12.0,0.7186037056252974,0.011507013088004727
GBGR,109,67.6711,68.2487,14.5665,12.0,0.7305926650899932,0.00036163962664984554
GBGR,135,67.7114,68.2487,16.6474,12.0,0.5521212015362292,0.015031150064439521
GBGR,151,67.8926,68.2487,10.4046,12.0,0.7893316743909057,0.008761960144003182
GBGR,18,68.396,68.2487,8.3237,12.0,0.4241628720370083,-0.03240447718417265
GBGR,188,68.094,68.2487,8.3237,12.0,0.6216948983936119,0.004441466520200096
GBGR,199,68.0336,68.2487,8.3237,12.0,0.3093821974410579,-0.006710990505821086
GBGR,266,67.9329,68.2487,22.8902,12.0,0.7635561202062423,0.01636364451534272
GBGR,280,68.2349,68.2487,10.4046,12.0,0.702983870402478,0.0008940015822475093
GBGR,299,67.8121,68.2487,12.4855,12.0,0.6950667634597274,0.017042286226583405
GBGR,330,67.9732,68.2487,22.8902,12.0,0.7597931807087013,0.015085341329657121
GBGR,333,67.8523,68.2487,18.7283,12.0,0.5565487162103261,0.0064811530157116385
GBGR,336,67.9933,68.2487,16.6474,12.0,0.692289062779454,0.00614749829014775
GBGR,337,68.0336,68.2487,12.4855,12.0,0.7781539441390763,0.008325824283658377
GBGR,338,67.953,68.2487,12.4855,12.0,0.6983269990565624,0.013347897568073867
GBGR,347,67.9732,68.2487,10.4046,12.0,0.6449913572665216,0.004393943327583061
GBGR,36,67.9933,68.2487,8.3237,12.0,0.8008103259489605,0.003987320093368741
GBGR,364,67.4094,68.2487,10.4046,12.0,0.4340850622804927,0.017092160454831105
GBGR,4,67.9329,68.2487,8.3237,12.0,0.7539055167467636,0.016864789747840326
GBGR,50,67.6913,68.2487,10.4046,12.0,0.7235107964665717,0.004566569030367422
GBGR,6,67.953,68.2487,8.3237,12.0,0.5743234779415287,0.007473981755471379
GBGR,69,67.7919,68.2487,14.5665,12.0,0.6648378424856352,0.002201284009705383
GBGR,9,68.0537,68.2487,14.5665,12.0,0.810882207646597,0.0009178607171849947
GREEN,10,67.9732,68.2487,12.4855,12.0,0.7992219639286177,0.015783332735995893
GREEN,101,67.8725,68.2487,12.4855,12.0,0.8131986033645062,0.03267783578403102
GREEN,104,67.8926,68.2487,8.3237,12.0,0.3898507078992065,-0.009308579307430882
GREEN,107,59.1342,68.2487,18.7283,12.0,0.4703975898956898,0.004929686211752445
GREEN,108,67.8523,68.2487,12.4855,12.0,0.7090398387418715,0.015387732650983383
GREEN,109,67.8725,68.2487,10.4046,12.0,0.7906122629157416,-0.010393472306666339
GREEN,135,65.557,68.2487,18.7283,12.0,0.3519190494613753,0.017816317447997016
GREEN,151,67.8322,68.2487,16.6474,12.0,0.7395143942186266,0.029939397936153196
GREEN,18,68.4564,68.2487,8.3237,12.0,0.5504894429287125,-0.04282071310650046
GREEN,188,67.7718,68.2487,12.4855,12.0,0.6372058436473758,0.01688902913680799
GREEN,199,45.1007,68.2487,8.3237,12.0,0.27729569693795053,-0.04494422322503587
GREEN,266,68.0738,68.2487,12.4855,12.0,0.7656325707637578,0.002084788789275105
GREEN,280,68.0537,68.2487,10.4046,12.0,0.6952262691242774,0.03231696251950109
GREEN,299,67.8926,68.2487,14.5665,12.0,0.7763724023644418,0.020531209145871202
GREEN,330,67.953,68.2487,16.6474,12.0,0.8008607036195461,0.008582814415235753
GREEN,333,67.8725,68.2487,14.5665,12.0,0.6857041802314351,0.01959100501372288
GREEN,336,59.5772,68.2487,18.7283,12.0,0.5146469154535658,0.03196331747744724
GREEN,337,68.0336,68.2487,14.5665,12.0,0.7876191616869666,0.01185170133711096
GREEN,338,68.094,68.2487,10.4046,12.0,0.8321720282937599,0.0065049508042629295
GREEN,347,68.0537,68.2487,8.3237,12.0,0.5799387173938,-0.027880812560163514
GREEN,36,67.953,68.2487,16.6474,12.0,0.8041798156102875,0.011201799645777702
GREEN,364,137.0537,68.2487,14.5665,12.0,0.2878756675056644,0.007862035617675508
GREEN,4,67.9128,68.2487,16.6474,12.0,0.7494800150276921,0.008385339567149968
GREEN,50,68.0134,68.2487,12.4855,12.0,0.5487119832597902,0.03129063616441258
GREEN,6,67.7114,68.2487,12.4855,12.0,0.5555450396841914,0.014735930546896453
GREEN,69,67.8322,68.2487,22.8902,12.0,0.5896204135509815,-0.000625849500702166
GREEN,9,67.953,68.2487,18.7283,12.0,0.7279700710065938,0.005842389599710465
